"filename", "language", "YAML", "Swift", "C++", "HTML", "JSON", "Markdown", "XML", "Dart", "Java Properties", "Groovy", "Kotlin", "comment", "blank", "total"
"d:\montages\flutter projects\Githug Projects\medication_remainder\README.md", "Markdown", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 17
"d:\montages\flutter projects\Githug Projects\medication_remainder\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"d:\montages\flutter projects\Githug Projects\medication_remainder\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 5, 13, 72
"d:\montages\flutter projects\Githug Projects\medication_remainder\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 1, 9
"d:\montages\flutter projects\Githug Projects\medication_remainder\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 6, 4, 43
"d:\montages\flutter projects\Githug Projects\medication_remainder\android\app\src\main\kotlin\com\example\medication_remainder\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 7
"d:\montages\flutter projects\Githug Projects\medication_remainder\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"d:\montages\flutter projects\Githug Projects\medication_remainder\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"d:\montages\flutter projects\Githug Projects\medication_remainder\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"d:\montages\flutter projects\Githug Projects\medication_remainder\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"d:\montages\flutter projects\Githug Projects\medication_remainder\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 1, 9
"d:\montages\flutter projects\Githug Projects\medication_remainder\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"d:\montages\flutter projects\Githug Projects\medication_remainder\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\montages\flutter projects\Githug Projects\medication_remainder\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\montages\flutter projects\Githug Projects\medication_remainder\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"d:\montages\flutter projects\Githug Projects\medication_remainder\assets\images\splash.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\montages\flutter projects\Githug Projects\medication_remainder\assets\marker\ic_empty_star.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\montages\flutter projects\Githug Projects\medication_remainder\assets\marker\ic_far_pharmacy_marker.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\montages\flutter projects\Githug Projects\medication_remainder\assets\marker\ic_filled_star.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\montages\flutter projects\Githug Projects\medication_remainder\assets\marker\ic_location.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\montages\flutter projects\Githug Projects\medication_remainder\assets\marker\ic_pharmacy_marker.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\montages\flutter projects\Githug Projects\medication_remainder\ios\Runner\AppDelegate.swift", "Swift", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
