Date : 2023-01-09 08:56:29
Directory : d:\montages\flutter projects\Githug Projects\medication_remainder
Total : 110 files,  5317 codes, 288 comments, 648 blanks, all 6253 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Dart            |         59 |      3,830 |         78 |        393 |      4,301 |
| C++             |         16 |        502 |        107 |        170 |        779 |
| XML             |         15 |        476 |         48 |         15 |        539 |
| JSON            |          5 |        249 |          0 |          4 |        253 |
| Groovy          |          3 |         89 |          5 |         22 |        116 |
| YAML            |          2 |         59 |         31 |         12 |        102 |
| Swift           |          4 |         50 |          3 |         12 |         65 |
| HTML            |          1 |         37 |         16 |          6 |         59 |
| Markdown        |          2 |         13 |          0 |          9 |         22 |
| Java Properties |          2 |          8 |          0 |          2 |         10 |
| Kotlin          |          1 |          4 |          0 |          3 |          7 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                              |        110 |      5,317 |        288 |        648 |      6,253 |
| . (Files)                                                                                                                                      |          3 |         69 |         31 |         19 |        119 |
| android                                                                                                                                        |         13 |        168 |         51 |         39 |        258 |
| android (Files)                                                                                                                                |          3 |         38 |          0 |         10 |         48 |
| android\app                                                                                                                                    |          9 |        125 |         51 |         28 |        204 |
| android\app (Files)                                                                                                                            |          1 |         54 |          5 |         13 |         72 |
| android\app\src                                                                                                                                |          8 |         71 |         46 |         15 |        132 |
| android\app\src\debug                                                                                                                          |          1 |          4 |          4 |          1 |          9 |
| android\app\src\main                                                                                                                           |          6 |         63 |         38 |         13 |        114 |
| android\app\src\main (Files)                                                                                                                   |          1 |         33 |          6 |          4 |         43 |
| android\app\src\main\kotlin                                                                                                                    |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com                                                                                                                |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com\example                                                                                                        |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com\example\medication_remainder                                                                                   |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\res                                                                                                                       |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                                              |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                                          |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                                                |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                                                          |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                                        |          1 |          4 |          4 |          1 |          9 |
| android\gradle                                                                                                                                 |          1 |          5 |          0 |          1 |          6 |
